simu_time,a1_x,positon_x_t,positon_x_t+1,distance_in_x
909249,9.810007643,0.975540876,0.976611018,0.001070142
909257,9.810007643,0.976611018,0.977681279,0.001070261
909267,9.810007643,0.977681279,0.97875154,0.001070261
909276,9.810000192,0.97875154,0.979761481,0.001009941
909284,9.809985291,0.979761481,0.980552077,0.000790596
909293,9.810014162,0.980552077,0.981342614,0.000790537
909300,9.809978772,0.981342614,0.98213321,0.000790596
909310,9.810007643,0.98213321,0.982923806,0.000790596
909319,9.8100272,0.982923806,0.983714342,0.000790536
909327,9.809972252,0.983714342,0.984504938,0.000790596
909336,9.810014162,0.984504938,0.985295534,0.000790596
909344,9.809986222,0.985295534,0.986086071,0.000790537
909354,9.810007643,0.986086071,0.986876667,0.000790596
909362,9.810014162,0.986876667,0.987667263,0.000790596
909371,9.809972252,0.987667263,0.988457799,0.000790536
909380,9.810021613,0.988457799,0.989009261,0.000551462
909389,9.809978772,0.989009261,0.989540279,0.000531018
909397,9.810014162,0.989540279,0.990071416,0.000531137
909406,9.810020681,0.990071416,0.990602434,0.000531018
909415,9.809972252,0.990602434,0.991133511,0.000531077
909424,9.809994604,0.991133511,0.991664588,0.000531077
909433,9.810034651,0.991664588,0.992195666,0.000531078
909442,9.809965733,0.992195666,0.992726743,0.000531077
909450,9.810021613,0.992726743,0.993257761,0.000531018
909460,9.809986222,0.993257761,0.993788898,0.000531137
909469,9.810000192,0.993788898,0.994319916,0.000531018
909477,9.810028132,0.994319916,0.994850993,0.000531077
909486,9.809965733,0.994850993,0.995169222,0.000318229
909495,9.810021613,0.995169222,0.995467067,0.000297845
909504,9.809978772,0.995467067,0.995764971,0.000297904
909513,9.810028132,0.995764971,0.996062815,0.000297844
909521,9.809972252,0.996062815,0.99636066,0.000297845
909530,9.810014162,0.99636066,0.996658564,0.000297904
909539,9.810000192,0.996658564,0.996956408,0.000297844
909547,9.810007643,0.996956408,0.997254252,0.000297844
909556,9.810000192,0.997254252,0.997552156,0.000297904
909566,9.810000192,0.997552156,0.997850001,0.000297845
909575,9.809972252,0.997850001,0.998147845,0.000297844
909585,9.81004117,0.998147845,0.99844569,0.000297845
909594,9.809960145,0.99844569,0.998730004,0.000284314
909603,9.810028132,0.998730004,0.99882251,9.2506E-05
909612,9.809986222,0.99882251,0.998915017,9.2507E-05
909620,9.810026269,0.998915017,0.999007583,9.2566E-05
909630,9.809972252,0.999007583,0.999100089,9.2506E-05
909639,9.810007643,0.999100089,0.999192655,9.2566E-05
909648,9.810014162,0.999192655,0.999285161,9.2506E-05
909657,9.809966664,0.999285161,0.999377728,9.2567E-05
909666,9.810040239,0.999377728,0.999470234,9.2506E-05
909675,9.809965733,0.999470234,0.99956274,9.2506E-05
909684,9.810007643,0.99956274,0.999655306,9.2566E-05
909694,9.810007643,0.999655306,0.999747813,9.2507E-05
909703,9.809992742,0.999747813,0.999840379,9.2566E-05
909712,9.810028132,0.999840379,0.999932885,9.2506E-05
909724,9.809972252,0.999932885,0.999999404,6.6519E-05
909733,9.809994604,0.999999404,0.999999404,0
909744,9.810028132,0.999999404,0.999999404,0
909753,9.809986222,0.999999404,0.999999404,0
909761,9.810000192,0.999999404,0.999999404,0
909771,9.810014162,0.999999404,0.999999404,0
909780,9.809972252,0.999999404,0.999999404,0
909789,9.810007643,0.999999404,0.999999404,0
909798,9.810014162,0.999999404,0.999999404,0
909807,9.809978772,0.999999404,0.999999404,0
909817,9.810020681,0.999999404,0.999999404,0
909826,9.810000192,0.999999404,0.999999404,0
909835,9.809992742,0.999999404,0.999999404,0
909843,9.810000192,0.999999404,0.999999404,0
909852,9.810007643,0.999999404,0.999999404,0
909861,9.809966664,0.999999404,0.999999404,0
909870,9.810052346,0.999999404,0.999999404,0
909879,9.809953626,0.999999404,0.999999404,0
909887,9.810020681,0.999999404,0.999999404,0
909897,9.810025338,0.999999404,0.999999404,0
909906,9.809965733,0.999999404,0.999999404,0
909915,9.810000192,0.999999404,0.999999404,0
909923,9.810000192,0.999999404,0.999999404,0
909931,9.810021613,0.999999404,0.999999404,0
909940,9.809986222,0.999999404,0.999999404,0
